algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
rls,adaptive,256,1,fp32,473,10.004211902618408,4.542249999999999,0.006514407110397796,18.29668181818182,4.566830280720068,13.754431818181821,183.0438820238764,137.60225050920792,0.29091384885667637,44.82828282828283,45,841,21150.553705324328,198,40,45.0,5.003906488418579,False
rls,adaptive,1024,1,fp32,505,10.010497808456421,4.433,0.00836660026534071,19.18382412060302,5.2289038258819325,14.75082412060302,192.03962931710996,147.66309253222266,0.2924021634301439,44.57788944723618,45,927,19822.767937537465,199,40,44.0,5.003297567367554,False
rls,adaptive,4096,1,fp32,558,10.00649905204773,4.499124999999999,0.02676489071526354,18.619223350253808,4.571428708557567,14.120098350253809,186.31324080417969,141.29275075663546,0.2532128149760492,44.0,44,945,17932.794000085538,197,40,44.0,5.003281593322754,False
rls,adaptive,16384,1,fp32,466,10.021600484848022,4.648325,0.02137333326835091,20.186306532663313,5.526333677137389,15.537981532663313,202.29909933502947,155.71544326129828,0.33415331171952417,44.89447236180904,45,977,21505.580439588033,199,40,44.0,5.003601312637329,False
apa_p4,adaptive,256,1,fp32,226,10.019280910491943,4.47265,0.010866347132316479,23.6274595959596,7.406456845614054,19.1548095959596,236.7301548932177,191.9174181289059,0.8491921156146278,44.57070707070707,45,1093,44333.10137385816,198,40,44.0,5.0032453536987305,False
apa_p4,adaptive,1024,1,fp32,252,10.034759998321533,4.674525,0.006804364408231019,26.286185929648237,7.322464554805639,21.611660929648238,263.77556707527646,216.8678305941225,0.8605866293417559,45.84924623115578,46,1119,39820.47618381561,199,40,44.0,5.002938270568848,False
apa_p4,adaptive,4096,1,fp32,230,10.019445180892944,4.523625,0.006799586384479595,25.807361809045226,6.864106781606417,21.283736809045227,258.57544690919883,213.25123420278197,0.9271792791425303,44.92964824120603,45,1095,43562.805134317154,199,40,45.0,5.003143310546875,False
apa_p4,adaptive,16384,1,fp32,244,10.033465385437012,4.510425,0.010044619206321291,24.685695431472084,7.223946153527545,20.175270431472086,247.68307062711574,202.42787751600602,0.8296224488360903,44.69543147208122,45,1003,41120.759776381194,197,40,44.0,5.0039544105529785,False
kalman,estimation,256,1,fp32,105,10.002309322357178,4.482275,0.026999062483723284,22.1445202020202,6.667091147629828,17.662245202020202,221.4963408557935,176.663239837925,1.6825070460754763,43.93939393939394,44,1031,95260.08878435407,198,40,44.0,5.004004955291748,False
kalman,estimation,1024,1,fp32,112,10.07279086112976,4.458625,0.015353643704345958,22.250776119402982,7.1180867094054,17.79215111940298,224.12741434856667,179.21661719536198,1.600148367815732,43.90547263681592,44,1098,89935.63268865857,201,40,43.0,5.004191875457764,False
kalman,estimation,4096,1,fp32,75,10.04397988319397,4.488674999999999,0.006757912029613721,17.58207,4.441102912014086,13.093395000000003,176.5939573849082,131.50979598271255,1.7534639464361672,43.205,44,681,133919.7317759196,200,40,43.0,5.003774404525757,False
kalman,estimation,16384,1,fp32,91,10.046335935592651,4.575,0.003872983346207248,18.03462,4.614889544246969,13.459620000000001,181.18185099075794,135.21986408542156,1.4859325723672698,43.925,44,817,110399.29599552364,200,40,43.0,5.002317190170288,False
ekf,estimation,256,1,fp32,73,10.147743225097656,4.572749999999999,0.014289419162443345,18.03980198019802,4.669531603537096,13.467051980198022,183.06327832665775,136.66018549409245,1.872057335535513,44.618811881188115,45,821,139010.1811657213,202,40,44.0,5.004275798797607,False
ekf,estimation,1024,1,fp32,79,10.092858076095581,4.40805,0.010848847865096062,18.141389999999998,4.707827118522939,13.733339999999998,183.0984745730996,138.60865153076648,1.7545398927945124,43.79,44,866,127757.69716576685,200,40,44.0,5.005552768707275,False
ekf,estimation,4096,1,fp32,78,10.094979524612427,4.616125,0.009211914838946305,18.45507960199005,4.550026607940553,13.83895460199005,186.30365070718202,139.70396334913048,1.7910764531939805,44.482587064676615,45,890,129422.81441810804,201,40,44.0,5.003112077713013,False
